,title,rental price,bedrooms,bathrooms,Area (SF),"latitude,longitude",cats are OK - purrr,dogs are OK - wooof,w/d in unit,wd in unit,laundry in bldg,laundry on site,attached garage,detached garage,carport,furnished,no smoking,wheelchair accessible,lat.,long.,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
958,Fully Furnished/ Top Location,4950,2,1.0,1050.0,"(37.8002, -122.4091)",0,0,0,1,0,0,0,0,0,1,1,0,37.8002,-122.4091,1.0,rooftop,1560.0,Stockton St,San Francisco,CA,San Francisco County,94133.0
960,Walk to Embarcadero & FiDi - Fully Furnished - Amazing Rooftop Terrace,4900,2,1.0,1050.0,"(37.800638, -122.407584)",0,0,0,1,0,0,0,0,0,1,1,0,37.800638,-122.40758400000001,1.0,nearest_street,1500.0,Grant Ave,San Francisco,CA,San Francisco County,94133.0
961,Fully Furnished/ Top Location,4900,2,1.0,1050.0,"(37.8002, -122.4091)",0,0,0,1,0,0,0,0,0,1,1,0,37.8002,-122.4091,1.0,rooftop,1560.0,Stockton St,San Francisco,CA,San Francisco County,94133.0
965,Huge Town Home! Come See This Remarkable Community! #,5575,2,2.5,1388.0,"(37.771804, -122.426621)",1,1,0,1,0,0,1,0,0,0,1,1,37.771803999999996,-122.426621,1.0,rooftop,200.0,Buchanan St,San Francisco,CA,San Francisco County,94102.0
966,Spacious 2BR 1BA in perfect Inner Sunset location! Rentals In SF,2995,2,1.0,,"(37.763689, -122.474241)",0,0,0,0,1,0,0,0,0,0,1,0,37.763689,-122.47424099999999,1.0,rooftop,1500.0,Irving St,San Francisco,CA,San Francisco County,94122.0
967,"Gorgeous, Renovated 3BR/1BA unit in NOB HILL! Rentals In SF",6000,3,1.0,,"(37.793444, -122.416201)",0,0,0,1,0,0,0,0,0,0,1,0,37.793444,-122.416201,1.0,rooftop,1314.0,Leavenworth St,San Francisco,CA,San Francisco County,94109.0
970,"October Special!! 4-8 Weeks Free! Brand New 2B starting at $5,150",5150,3,2.0,,"(37.717665, -122.440107)",1,1,0,1,0,0,1,0,0,0,1,0,37.717665000000004,-122.44010700000001,1.0,nearest_street,5051.0,Mission St,San Francisco,CA,San Francisco County,94112.0
971,Fillmore St. Apartment for Immediate Occupancy,4250,3,1.5,,"(37.797603, -122.435594)",0,0,0,0,0,0,0,0,0,0,1,0,37.797603,-122.435594,1.0,rooftop,3038.0,Fillmore St,San Francisco,CA,San Francisco County,94123.0
972,"Spacious, bright, two bedroom recently remodeled",4100,2,1.0,,"(37.756988, -122.419689)",0,0,0,0,1,0,1,0,0,0,1,0,37.756988,-122.41968899999999,1.0,nearest_street,3225.0,21st St,San Francisco,CA,San Francisco County,94110.0
973,"October Special!! 4-8 Weeks Free! Brand New 2B starting at $3,900",3900,2,2.0,,"(37.717866, -122.440359)",0,0,0,1,0,0,1,0,0,0,0,0,37.717866,-122.44035900000002,1.0,rooftop,33.0,Seneca Ave,San Francisco,CA,San Francisco County,94112.0
982,Premium Marina Home- 3 Car Parking & Yard,13500,3,2.0,2360.0,"(37.803601, -122.444419)",0,0,0,1,0,0,1,0,0,0,0,0,37.803601,-122.444419,1.0,rooftop,2149.0,Beach St,San Francisco,CA,San Francisco County,94123.0
990,Remodeled and spacious 2 bedroom apartment in Inner Richmond,3500,2,1.0,950.0,"(37.783641, -122.47854)",0,0,0,0,1,0,1,0,0,0,1,0,37.783640999999996,-122.47854,1.0,rooftop,226.0,19th Ave,San Francisco,CA,San Francisco County,94121.0
1008,Large Light filled 4 room apt. at Corner of Haight &Ashbury,2995,1,1.0,700.0,"(37.770008, -122.446934)",1,1,0,0,0,1,0,0,0,0,0,0,37.770008000000004,-122.44693400000001,1.0,nearest_street,600.0,Ashbury St,San Francisco,CA,San Francisco County,94117.0
1009,Remodeled 1 Bedroom/1 Bath,2500,1,1.0,,"(37.77541, -122.46298)",0,0,0,0,1,0,0,0,0,0,1,0,37.77541,-122.46298,1.0,rooftop,703.0,5th Ave,San Francisco,CA,San Francisco County,94118.0
1010,"Cozy Studio Inner Sunset,  near UCSF, SFSU ,CCSF",1750,1,1.0,,"(37.77541, -122.46298)",0,0,0,0,0,0,0,0,0,0,0,0,37.77541,-122.46298,1.0,rooftop,703.0,5th Ave,San Francisco,CA,San Francisco County,94118.0
1011,COLE VALLEY ~ New Renovated 1 bdrm/1bath; parking available,3200,1,1.0,,"(37.764311, -122.454217)",0,0,0,0,0,0,0,1,0,0,0,0,37.764311,-122.45421699999999,1.0,nearest_street,1400.0,Willard St,San Francisco,CA,San Francisco County,94117.0
1015,"Amazing Location, Fillmore / Haight, Fully Remodeled 1 Bedroom",3095,1,1.0,550.0,"(37.772108, -122.430434)",0,0,0,0,0,0,0,0,0,0,1,0,37.772108,-122.430434,1.0,nearest_street,300.0,Fillmore St,San Francisco,CA,San Francisco County,94117.0
1016,Spacious and Beautiful Pacific Heights 1 bedroom right by Union/Polk!,4250,1,1.0,,"(37.794243, -122.42817)",1,1,0,1,0,0,0,0,0,0,1,0,37.794243,-122.42817,1.0,rooftop,2000.0,Pacific Ave,San Francisco,CA,San Francisco County,94109.0
1018,"* * * 467 33rd ave Superb location 1 bed 1 bath kitchen, more",2700,1,1.0,,"(37.780321, -122.493346)",0,0,0,0,0,0,0,0,0,0,0,0,37.780321,-122.493346,1.0,rooftop,472.0,33rd Ave,San Francisco,CA,San Francisco County,94121.0
1022,100% Renovated 1 BR in Heart of Noe Valley - AAA Location,2995,1,1.0,800.0,"(37.749391, -122.427628)",0,0,0,0,1,0,0,0,1,0,0,0,37.749390999999996,-122.427628,1.0,rooftop,112.0,Clipper St,San Francisco,CA,San Francisco County,94114.0
1023,North Point & Webster/Pets Ok!Available Now!Top FL$95 Move In Special!,3795,1,1.0,560.0,"(37.803969, -122.435031)",1,1,0,1,0,0,0,0,0,0,1,0,37.803969,-122.43503100000001,1.0,rooftop,1690.0,N Point St,San Francisco,CA,San Francisco County,94123.0
1028,Bush & Hyde/Available Now/Pets Ok!$95 Move In Special/ Jr.1 Bed,2495,1,1.0,340.0,"(37.789046, -122.417541)",1,1,0,0,1,0,0,0,0,0,1,0,37.789046,-122.41754099999999,1.0,rooftop,1209.0,Bush St,San Francisco,CA,San Francisco County,94109.0
1029,"Cozy Studio Inner Sunset,  near UCSF, SFSU ,CCSF",1750,1,1.0,,"(37.789046, -122.417541)",0,0,0,0,0,0,0,0,0,0,0,0,37.789046,-122.41754099999999,1.0,rooftop,1209.0,Bush St,San Francisco,CA,San Francisco County,94109.0
1030,Views Garden MUNI BART shuttles freeways shopping entertainment,3000,1,1.0,750.0,"(37.739869, -122.424147)",1,0,0,0,0,1,1,0,0,0,1,0,37.739869,-122.42414699999999,1.0,nearest_street,5.0,Randall St,San Francisco,CA,San Francisco County,94131.0
1031,Presidio Terrace - great Jr. 1 BR at 5th Ave. & Lake St.,2400,1,1.0,500.0,"(37.787335, -122.463662)",0,0,0,0,0,0,0,0,0,0,1,0,37.787335,-122.46366200000001,1.0,rooftop,66.0,5th Ave,San Francisco,CA,San Francisco County,94118.0
1035,Top Quality Noe Valley 1 BR w/ Dishwasher+ ALL NEW Everything-MUST SEE,2995,1,1.0,800.0,"(37.749374, -122.427649)",0,0,0,0,1,0,0,0,1,0,0,0,37.749373999999996,-122.427649,1.0,rooftop,112.0,Clipper St,San Francisco,CA,San Francisco County,94114.0
1037,EASY ACCESS TO FREEWAY,2800,1,1.0,650.0,"(37.723347, -122.399652)",1,1,0,0,0,0,1,0,0,0,0,0,37.723347,-122.399652,1.0,rooftop,449.0,Paul Ave,San Francisco,CA,San Francisco County,94124.0
1038,"Spacious, Peaceful, Huge Kitchen - Haight & Cole",2895,1,1.0,600.0,"(37.769362, -122.450901)",1,0,0,0,1,0,0,0,0,0,0,0,37.769362,-122.450901,1.0,rooftop,1715.0,Haight St,San Francisco,CA,San Francisco County,94117.0
1039,"Walking Distance to Shops, Restaurants and Parks! Half DEPOSIT!",3621,1,1.0,625.0,"(37.78518, -122.435781)",0,1,0,0,1,0,1,0,0,0,1,0,37.78518,-122.435781,1.0,rooftop,2000.0,Post St,San Francisco,CA,San Francisco County,94115.0
1040,Sunset Views of from Your Living Room - Live Remarkably!,4612,1,1.0,727.0,"(37.77253, -122.39312)",1,1,0,1,0,0,1,0,0,0,1,1,37.772529999999996,-122.39312,1.0,rooftop,690.0,Long Bridge St,San Francisco,CA,San Francisco County,94158.0
1043,REMODELED..Heart of Hayes Valley..Stainless appliances..,2600,1,1.0,,"(37.77526, -122.424388)",1,0,0,0,0,1,0,0,0,0,0,0,37.775259999999996,-122.424388,1.0,rooftop,331.0,Octavia St,San Francisco,CA,San Francisco County,94102.0
1046,"2701  SACRAMENTO St., @ Pierce.. one bedroom apartment, with garage",3300,1,1.0,775.0,"(37.789422, -122.437319)",0,0,0,0,1,0,1,0,0,0,0,0,37.789421999999995,-122.43731899999999,1.0,nearest_street,2100.0,Pierce St,San Francisco,CA,San Francisco County,94115.0
1047,"445 Lawton, #2....first floor, front, one bedroom,with parking, laundr",2500,1,1.0,,"(37.757903, -122.466958)",0,0,0,0,1,0,1,0,0,0,0,0,37.757903000000006,-122.466958,1.0,rooftop,1617.0,10th Ave,San Francisco,CA,San Francisco County,94122.0
1053,Modern 1 bed with slider and spacious open Living space! Come see!,4067,1,1.0,658.0,"(37.769428, -122.403979)",1,1,0,1,0,0,0,0,0,0,1,1,37.769428000000005,-122.403979,1.0,nearest_street,2.0,Division St,San Francisco,CA,San Francisco County,94103.0
1056,"Lease Today, Bright Spacious Rooms, Near CalTrain and Muni",3969,1,1.0,730.0,"(37.772434, -122.39726)",1,1,0,1,0,0,0,0,0,0,1,0,37.772434000000004,-122.39726,1.0,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158.0
1057,AMAZING 1BR/1BA WITH EXTRA LARGE KITCHEN AND LOTS OF CLOSETS!,3645,1,1.0,787.0,"(37.780917, -122.399457)",1,1,0,1,0,0,1,0,0,0,0,1,37.780916999999995,-122.39945700000001,1.0,rooftop,788.0,Harrison St,San Francisco,CA,San Francisco County,94107.0
1058,"Call for Details, Concierge Services, On Site Maintenance",3387,1,1.0,605.0,"(37.772434, -122.39726)",1,1,0,1,0,0,1,0,0,0,1,0,37.772434000000004,-122.39726,1.0,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158.0
1060,"ONE-BEDROOM, ONE-BATHROOM HOME IN SAN FRANCISCO",3614,1,1.0,803.0,"(37.780917, -122.399457)",1,1,0,1,0,0,1,0,0,0,0,1,37.780916999999995,-122.39945700000001,1.0,rooftop,788.0,Harrison St,San Francisco,CA,San Francisco County,94107.0
1062,"Upscale Floor Plans, Private Washer Dryer, Closet Organizers",5055,1,1.5,110.0,"(37.772434, -122.39726)",1,1,0,1,0,0,0,1,0,0,1,0,37.772434000000004,-122.39726,1.0,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158.0
1064,"Come Visit Today, Minutes from 101 and 280, Community Club Room",3969,1,1.0,730.0,"(37.772434, -122.39726)",1,0,0,1,0,0,0,1,0,0,1,0,37.772434000000004,-122.39726,1.0,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158.0
1067,"Perfect Location, Near CalTrain and Muni, Bright Spacious Rooms",3387,1,1.0,605.0,"(37.772434, -122.39726)",1,1,0,1,0,0,0,1,0,0,1,1,37.772434000000004,-122.39726,1.0,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158.0
1069,20th Floor 1 Bedroom + Breathtaking View!,4518,1,1.0,652.0,"(37.787295, -122.392719)",1,1,0,1,0,0,1,0,0,0,1,1,37.787295,-122.392719,1.0,rooftop,350.0,Fremont St,San Francisco,CA,San Francisco County,94105.0
1076,Unique 1 Bedroom With Great New Price!,4166,1,1.0,730.0,"(37.787295, -122.392719)",1,1,0,1,0,0,1,0,0,0,1,1,37.787295,-122.392719,1.0,rooftop,350.0,Fremont St,San Francisco,CA,San Francisco County,94105.0
1077,1x1 with Cozy Fireplace with 360 View of SF,3200,1,1.0,800.0,"(37.752242, -122.444618)",1,1,0,0,1,0,0,0,0,0,1,0,37.752241999999995,-122.44461799999999,1.0,rooftop,38.0,Gardenside Dr,San Francisco,CA,San Francisco County,94131.0
1079,Spacious 1 bed with Lots of bright sun with Historic Views! Come see!,4087,1,1.0,729.0,"(37.769428, -122.403979)",1,1,0,1,0,0,0,0,0,0,1,1,37.769428000000005,-122.403979,1.0,nearest_street,2.0,Division St,San Francisco,CA,San Francisco County,94103.0
1083,One Bedroom Inner Sunset Apartment- $250 Deposit Special,3183,1,1.0,665.0,"(37.75954, -122.462864)",1,1,0,0,1,0,0,0,0,0,0,0,37.75954,-122.462864,1.0,rooftop,3.0,Locksley Ave,San Francisco,CA,San Francisco County,94122.0
1085,"An Extremely Great Value Home, In A Wonderful Location. MUST SEE!",3852,1,1.0,847.0,"(37.787836, -122.393396)",1,1,0,1,0,0,1,0,0,0,1,0,37.787836,-122.393396,1.0,rooftop,353.0,Folsom St,San Francisco,CA,San Francisco County,94105.0
1086,1 Bedroom 1 Bathroom 850+ sq.ft. !,4559,1,1.0,861.0,"(37.7694, -122.3867)",1,1,0,1,0,0,0,0,1,0,1,0,37.7694,-122.3867,1.0,rooftop,550.0,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158.0
1087,"Cozy Studio Inner Sunset,  near UCSF, SFSU ,CCSF",1750,1,1.0,,"(37.7694, -122.3867)",0,0,0,0,0,0,0,0,0,0,0,0,37.7694,-122.3867,1.0,rooftop,550.0,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158.0
1088,"1Bath sunny, remodeled apartment (Castro @ Jersey)",3200,1,1.0,,"(37.75029, -122.434216)",0,0,0,0,1,0,0,0,0,0,0,0,37.75029,-122.43421599999999,1.0,rooftop,1400.0,Castro St,San Francisco,CA,San Francisco County,94114.0
1089,one BR plus Den 2 Bath Furnished Condo 7 month lease,3500,1,2.0,864.0,"(37.766726, -122.438291)",0,0,0,1,0,0,1,0,0,0,0,0,37.766726,-122.43829099999999,1.0,nearest_street,144.0,Buena Vista Ter,San Francisco,CA,San Francisco County,94117.0
1093,Looking to share apartment with one person.,1350,1,,,"(37.7195, -122.4411)",0,0,0,0,1,0,0,0,0,0,1,0,37.7195,-122.4411,1.0,rooftop,20.0,Junior Ter,San Francisco,CA,San Francisco County,94112.0
1094,Check Us Out & Move In Next Day! We're Waiting for You!,3013,1,1.0,718.0,"(37.786649, -122.413799)",1,1,0,0,1,0,1,0,0,0,1,1,37.786649,-122.413799,1.0,rooftop,630.0,Geary St,San Francisco,CA,San Francisco County,94109.0
1095,1 Bedroom 1 Bathroom! MUST SEE!,4589,1,1.0,996.0,"(37.7694, -122.3867)",1,1,0,1,0,0,0,0,1,0,1,0,37.7694,-122.3867,1.0,rooftop,550.0,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158.0
1098,4 - 6 Month Lease: Furnished 1 Bedroom in South Beach,3600,1,1.0,500.0,"(37.7864, -122.3892)",0,0,0,1,0,0,0,0,1,1,1,0,37.7864,-122.3892,1.0,rooftop,501.0,Beale St,San Francisco,CA,San Francisco County,94105.0
1099,Look No Further...Just Come Home!,3203,1,1.0,615.0,"(37.745296, -122.440088)",1,1,0,0,1,0,0,0,0,0,1,0,37.745296,-122.44008799999999,1.0,nearest_street,5200.0,Diamond Heights Blvd,San Francisco,CA,San Francisco County,94131.0
1102,"Amazing Space, Amazing Price! Tour This Weekend! Free Cable/WiFi!",3670,1,1.0,741.0,"(37.77351, -122.409599)",1,1,0,1,0,0,0,1,0,0,1,0,37.773509999999995,-122.409599,1.0,rooftop,350.0,8th St,San Francisco,CA,San Francisco County,94103.0
1104,$3500 / Top Floor - 1 Bedroom Apartment Available,3500,1,1.0,620.0,"(37.796014, -122.430385)",1,0,0,0,0,1,0,0,0,0,0,0,37.796014,-122.43038500000002,1.0,rooftop,2000.0,Vallejo St,San Francisco,CA,San Francisco County,94123.0
1105,1br furnished apartment,2395,1,1.0,,"(37.7917, -122.4186)",0,0,0,0,0,0,0,0,0,1,0,0,37.7917,-122.4186,1.0,rooftop,1577.0,Sacramento St,San Francisco,CA,San Francisco County,94109.0
1106,Spacious Top Floor Studio...Amazing SF Views! Move in Ready!,2655,1,1.0,500.0,"(37.786649, -122.413799)",1,1,0,0,1,0,1,0,0,0,1,1,37.786649,-122.413799,1.0,rooftop,630.0,Geary St,San Francisco,CA,San Francisco County,94109.0
1107,1-Bedroom Apartment in great neighborhood,2250,1,1.0,,"(37.781111, -122.462139)",0,0,0,0,0,0,0,0,0,0,1,0,37.781110999999996,-122.462139,1.0,nearest_street,4000.0,Geary Blvd,San Francisco,CA,San Francisco County,94118.0
1109,Love Where you Live...Everything Close By!,3289,1,1.0,775.0,"(37.788845, -122.419161)",1,1,0,0,1,0,1,0,0,0,1,1,37.788845,-122.41916100000002,1.0,rooftop,1300.0,Bush St,San Francisco,CA,San Francisco County,94109.0
1113,$199 Security Deposit Specials... Move In Ready!,3047,1,1.0,718.0,"(37.786649, -122.413799)",1,1,0,0,1,0,1,0,0,0,1,1,37.786649,-122.413799,1.0,rooftop,630.0,Geary St,San Francisco,CA,San Francisco County,94109.0
1114,"Sunny Top Floor 1bd hardwood,eat in kitchen, Dishwasher",3100,1,1.0,,"(37.78983, -122.418843)",1,0,0,0,0,1,0,0,0,0,0,0,37.78983,-122.418843,1.0,nearest_street,1300.0,Larkin St,San Francisco,CA,San Francisco County,94109.0
1115,Studio Inner Mission near 16th Valencia great layout Larger w/ living,2295,1,1.0,,"(37.769239, -122.420247)",1,0,0,0,1,0,0,0,0,0,0,0,37.769239,-122.420247,1.0,rooftop,1742.0,Mission St,San Francisco,CA,San Francisco County,94103.0
1116,Modern Living in the Heart of the City,4034,1,1.0,751.0,"(37.772721, -122.391183)",1,1,0,1,0,0,1,0,0,0,1,0,37.772721000000004,-122.39118300000001,1.0,rooftop,1201.0,4th St,San Francisco,CA,San Francisco County,94158.0
1117,UPPER MARKET 1 BED WITH EASY DOWNTOWN ACCESS AVAILABLE!!!,3884,1,1.0,587.0,"(37.748362, -122.429346)",1,1,0,1,0,0,1,0,0,0,1,1,37.748362,-122.429346,1.0,nearest_street,4000.0,26th St,San Francisco,CA,San Francisco County,94131.0
1119,Offstreet and Very Quiet Top-Floor 1 bedroom with beautiful hardwood,3300,1,1.0,,"(37.790459, -122.429092)",1,1,0,0,1,0,0,0,0,0,1,0,37.790459000000006,-122.429092,1.0,nearest_street,2200.0,Sacramento St,San Francisco,CA,San Francisco County,94115.0
1120,San Francisco is Calling Are You Gonna Answer!,2949,1,1.0,530.0,"(37.786649, -122.413799)",1,1,0,0,1,0,1,0,0,0,1,1,37.786649,-122.413799,1.0,rooftop,630.0,Geary St,San Francisco,CA,San Francisco County,94109.0
1122,"Have a Car? Affordable Street/Garage Parking, Renovated 1x1 Highrise",2902,1,1.0,804.0,"(37.721206, -122.483023)",1,1,0,0,0,1,0,0,0,0,1,0,37.721206,-122.483023,1.0,nearest_street,2.0,Vidal Dr,San Francisco,CA,San Francisco County,94132.0
1124,$2800 / 1br - 650ft2 - PERFECT 1-BEDROOM FOR YOU!!!,2800,1,1.0,650.0,"(37.723347, -122.399652)",1,1,0,0,0,0,1,0,0,0,0,0,37.723347,-122.399652,1.0,rooftop,449.0,Paul Ave,San Francisco,CA,San Francisco County,94124.0
1128,Jr. 1 Bedroom with Modern Updates | 1/2 Month Free,2450,1,1.0,,"(37.785209, -122.417505)",1,1,0,0,1,0,0,0,0,0,0,0,37.785209,-122.417505,1.0,rooftop,784.0,Ofarrell St,San Francisco,CA,San Francisco County,94109.0
1129,Charming Noe Valley 1 BR With Deck And Full Backyard,2950,1,1.0,,"(37.753939, -122.440914)",0,0,0,0,0,1,0,0,0,0,1,0,37.753939,-122.44091399999999,1.0,rooftop,2.0,Hoffman Ave,San Francisco,CA,San Francisco County,94114.0
1130,"Lease Today, Hardwood Floors, LEED Gold Certified",3857,1,1.0,706.0,"(37.787424, -122.421154)",1,1,0,1,0,0,0,0,0,0,0,0,37.787424,-122.421154,1.0,rooftop,1285.0,Sutter St,San Francisco,CA,San Francisco County,94109.0
1132,"Top Floor, Remodeled, Panhandle View 1 brm",2975,1,1.0,,"(37.77208, -122.445717)",1,0,0,0,0,0,0,0,0,0,1,0,37.772079999999995,-122.44571699999999,1.0,nearest_street,1000.0,Masonic Ave,San Francisco,CA,San Francisco County,94117.0
1135,"Come Look and Lease, In Home Washer and Dryer, Clubhouse",3872,1,1.0,704.0,"(37.787424, -122.421154)",1,1,0,1,0,0,0,0,0,0,0,0,37.787424,-122.421154,1.0,rooftop,1285.0,Sutter St,San Francisco,CA,San Francisco County,94109.0
1137,"Modern Loft, Laundry, Garage Parking, balcony, Pet Friendly",3800,1,1.5,,"(37.757754, -122.393133)",1,1,0,1,0,0,1,0,0,0,1,0,37.757754,-122.393133,1.0,rooftop,699.0,Pennsylvania Ave,San Francisco,CA,San Francisco County,94107.0
1141,One-Bed/ One-Bath with Awesome Views of the Financial District!,3625,1,1.0,746.0,"(37.780917, -122.399457)",1,1,0,1,0,0,1,0,0,0,0,1,37.780916999999995,-122.39945700000001,1.0,rooftop,788.0,Harrison St,San Francisco,CA,San Francisco County,94107.0
1142,Large 1x1 in SOMA! Walk-in closet! Bay window with great views!,3792,1,1.0,852.0,"(37.780917, -122.399457)",1,1,0,1,0,0,1,0,0,0,0,1,37.780916999999995,-122.39945700000001,1.0,rooftop,788.0,Harrison St,San Francisco,CA,San Francisco County,94107.0
1144,"Renovated 1 bed and bath for a great rate, new appliances!",3751,1,1.0,725.0,"(37.7621, -122.3971)",0,0,0,1,0,0,0,1,0,0,0,0,37.7621,-122.3971,1.0,rooftop,331.0,Connecticut St,San Francisco,CA,San Francisco County,94107.0
1145,Room for rent in Inner Sunset!,1250,1,,,"(37.763529, -122.474016)",0,0,0,0,0,0,0,0,0,0,0,0,37.763529,-122.47401599999999,1.0,rooftop,1301.0,16th Ave,San Francisco,CA,San Francisco County,94122.0
1146,Looking for a pet friendly community.. we got you!,3379,1,1.0,533.0,"(37.7621, -122.3971)",0,1,0,1,0,0,0,1,0,0,0,0,37.7621,-122.3971,1.0,rooftop,331.0,Connecticut St,San Francisco,CA,San Francisco County,94107.0
1148,"Close by Financial District, Quiet with Covered Patio",2500,1,1.0,450.0,"(37.792507, -122.408767)",0,0,0,0,1,0,0,0,0,1,1,0,37.792507,-122.408767,1.0,rooftop,105.0,Miles St,San Francisco,CA,San Francisco County,94108.0
1149,"Outstanding unit. Tp flr, exceptional view, quiet,pkg light, hd, mint",3995,1,1.0,900.0,"(37.75124, -122.425032)",1,0,0,1,0,0,0,0,0,0,0,0,37.75124,-122.425032,1.0,rooftop,1149.0,Dolores St,San Francisco,CA,San Francisco County,94110.0
1150,"Caesarstone counter tops, Rain forest style shower heads",4004,1,1.0,789.0,"(37.776541, -122.417501)",1,1,0,1,0,0,1,0,0,0,0,1,37.776540999999995,-122.417501,1.0,nearest_street,1401.0,Market St,San Francisco,CA,San Francisco County,94103.0
1151,Spacious flat in quiet Potrero Hill,2900,1,1.0,900.0,"(37.754571, -122.401589)",0,0,0,0,1,0,0,0,0,0,0,0,37.754571,-122.40158899999999,1.0,nearest_street,2200.0,23rd St,San Francisco,CA,San Francisco County,94107.0
1154,Sunset in-law $1800,1800,1,1.0,,"(37.744352, -122.488678)",0,0,0,0,0,1,0,0,0,0,1,0,37.744352,-122.48867800000001,1.0,nearest_street,2000.0,Santiago St,San Francisco,CA,San Francisco County,94116.0
1157,Large Central 1br - Calm Oasis in Vibrant Yerba Buena (SOMA),3750,1,1.0,807.0,"(37.783785, -122.39893)",0,0,0,1,0,0,1,0,0,0,0,0,37.783784999999995,-122.39893000000001,1.0,nearest_street,300.0,3rd St,San Francisco,CA,San Francisco County,94107.0
1160,Move In Specials!!! 1 BD Available Now in the Heart of Downtown!,2949,1,1.0,530.0,"(37.786649, -122.413799)",1,1,0,0,1,0,1,0,0,0,1,1,37.786649,-122.413799,1.0,rooftop,630.0,Geary St,San Francisco,CA,San Francisco County,94109.0
1161,Junior 1 bedroom coming up on the 6th floor with Golden Gate View!,3295,1,0.0,,"(37.791927, -122.414209)",0,0,0,0,1,0,1,0,0,0,0,0,37.791927,-122.41420900000001,1.0,rooftop,1111.0,Jones St,San Francisco,CA,San Francisco County,94109.0
1163,"Simply BEAUTIFUL!  HUGE 1BR+FDR. Hrdw, elevtrs ,prkg.VIEWS!",5495,1,1.0,1200.0,"(37.796272, -122.426893)",1,0,0,0,1,0,1,0,0,0,1,0,37.796271999999995,-122.42689299999999,1.0,nearest_street,2500.0,Gough St,San Francisco,CA,San Francisco County,94123.0
1166,The most spectacular views in San Francisco,3965,1,1.0,620.0,"(37.791456, -122.392342)",1,1,0,0,1,0,1,0,0,0,1,1,37.791456,-122.392342,1.0,rooftop,88.0,Howard St,San Francisco,CA,San Francisco County,94105.0
1167,1751 Market NEWLY REMODELED 1 Bedroom Apartment for Rent!,2695,1,1.0,,"(37.771887, -122.423334)",1,1,0,1,0,0,0,0,0,0,1,0,37.771887,-122.42333400000001,1.0,rooftop,8.0,Valencia St,San Francisco,CA,San Francisco County,94103.0
1168,411 Pierce Alamo Square 1 Bedroom Apartment for Rent!,3495,1,1.0,,"(37.773644, -122.434128)",1,1,0,0,0,0,0,0,0,0,1,0,37.773644,-122.434128,1.0,rooftop,402.0,Pierce St,San Francisco,CA,San Francisco County,94117.0
1171,1751 Market  Junior 1 Bedroom Apartment for Rent!,2450,1,1.0,,"(37.771887, -122.423334)",1,1,0,0,0,1,0,0,0,0,1,0,37.771887,-122.42333400000001,1.0,rooftop,8.0,Valencia St,San Francisco,CA,San Francisco County,94103.0
1172,575 O'Farrell 1 Bedroom Apartment for Rent!,2750,1,1.0,,"(37.7813, -122.4167)",1,1,0,0,0,0,0,0,0,0,1,0,37.7813,-122.4167,1.0,rooftop,391.0,Golden Gate Ave,San Francisco,CA,San Francisco County,94102.0
1174,Modern Sleek Apartment On The 5th Floor!,3065,1,1.0,722.0,"(37.724625, -122.395926)",1,1,0,1,0,0,1,0,0,0,1,1,37.724625,-122.395926,1.0,rooftop,5880.0,3rd St,San Francisco,CA,San Francisco County,94124.0
1176,"Come Look and Lease, Covered Parking, Disposal",3957,1,1.0,773.0,"(37.773083, -122.391187)",1,1,0,1,0,0,1,0,0,0,1,0,37.773083,-122.39118700000002,1.0,rooftop,590.0,Mission Rock St,San Francisco,CA,San Francisco County,94158.0
1177,Available 11/1 Open House Sun. Oct. 7 from 2:00 to 3:00 PM,2700,1,1.0,600.0,"(37.758343, -122.438207)",0,0,0,0,0,0,0,0,0,0,1,0,37.758342999999996,-122.438207,1.0,rooftop,238.0,Eureka St,San Francisco,CA,San Francisco County,94114.0
1184,LAST ONE AVAILABLE!! LARGE 1 BEDROOM APARTMENT AVAILABLE!,3880,1,1.0,672.0,"(37.776619, -122.417402)",1,1,0,0,1,0,1,0,0,0,1,1,37.776619000000004,-122.417402,1.0,rooftop,1415.0,Market St,San Francisco,CA,San Francisco County,94103.0
1185,Rent-Control Gives You Peace of Mind; Spacious 1b 1ba Townhome,2899,1,1.0,792.0,"(37.716788, -122.475918)",1,1,0,0,0,1,0,0,0,0,1,0,37.716788,-122.475918,1.0,nearest_street,300.0,Gonzalez Dr,San Francisco,CA,San Francisco County,94132.0
1187,MARINA GREEN - EXCELLENT LOCATION WITH VIEWS OF GG BRIDGE,2900,1,1.0,,"(37.805786, -122.44221)",0,0,0,0,1,0,0,0,0,0,0,0,37.805786,-122.44221,1.0,nearest_street,501.0,Marina Blvd,San Francisco,CA,San Francisco County,94123.0
