title,rental price,bedrooms,bathrooms,Area (SF),"latitude,longitude",cats are OK - purrr,dogs are OK - wooof,w/d in unit,wd in unit,laundry in bldg,laundry on site,attached garage,detached garage,carport,furnished,no smoking,wheelchair accessible
"Perfect Location w/out the Stress of the inner City, 2b 1ba Townhome",3443,2,1,975,"(37.717411, -122.477722)",1,1,0,0,0,1,0,0,0,0,1,0
"Large 4br 2bath flat, laundry in unit",7000,4,2,,"(37.743047, -122.421534)",1,0,0,1,0,0,0,0,0,0,0,0
Gorgeous GG Bridge VIEWS! Penthouse unit- 3bd/2ba  | Elite Leasing,6700,3,2,,"(37.787562, -122.486359)",1,1,0,1,0,0,0,0,0,0,1,0
"Loft With Incredible Views, Deck, W/D, Hdwd. Flr | Elite Leasing",5500,2,2,,"(37.765271, -122.441242)",1,1,0,0,1,0,0,0,0,0,1,0
"Renovated Bi-Level Townhome, Views, Pkg. | Elite Leasing",7250,3,3,,"(37.784018, -122.447981)",0,0,0,1,0,0,1,0,0,0,1,0
"Brand New Luxury Const., Hdwd Flrs, W/D, Pkg. | Elite Leasing",7500,2,2,,"(37.7812, -122.4614)",1,1,0,1,0,0,1,0,0,0,1,0
"Brand New Luxury Const., Hdwd Flrs, W/D, Pkg. | Elite Leasing",7500,2,2,,"(37.775527, -122.454764)",1,1,0,1,0,0,1,0,0,0,1,0
Great Building In The Heart of Pacific Heights! | Elite Leasing,5200,3,1,,"(37.79268, -122.432918)",0,0,0,0,0,0,1,0,0,0,1,0
"Spacious, 2bd Unit At The Ritz-Carlton | Elite Leasing",8500,2,2.5,,"(37.791017, -122.399149)",1,1,0,1,0,0,0,0,0,0,1,1
"Designer's dream-house!  Large, open and beautiful!",9500,3,3.5,,"(37.794895, -122.429989)",1,1,0,1,0,0,1,0,0,0,1,0
Russian Hill Corner Unit Available Now. Amazing Light. Fab Location.,4350,2,1,,"(37.800547, -122.415943)",1,1,0,0,0,0,0,0,0,0,1,0
Stunning Flat In Great Location!,4495,2,1,,"(37.800547, -122.415943)",1,1,0,0,1,0,0,0,0,0,1,0
Newly remodeled 2BD 1Ba studio - Great Location - utilities included!,2200,2,1,530,"(37.7195, -122.4411)",1,1,0,0,0,0,0,0,0,0,1,1
Awesome 2 Bdr 1 Bth Flat in Amazing S.F. Location Deck Private,4495,2,1,,"(37.80479, -122.420178)",0,0,0,0,1,0,0,0,0,0,0,0
✤Newly Remodeled 2/3 Bedroom 1 Bath Apartment Available ✤,4800,3,1,,"(37.775048, -122.449638)",0,0,0,1,0,0,0,0,0,0,1,0
Beautiful Bay Bridge Outside Tranquility Inside,6792,2,2,1023,"(37.787213, -122.391949)",1,1,0,1,0,0,0,0,0,0,1,0
"Visit Your New Home, High Ceilings, Gourmet Kitchens",5149,2,2,1241,"(37.787424, -122.421154)",1,1,0,1,0,0,0,0,0,0,0,0
✤Newly Remodeled 2/3 Bedroom 1 Bath Apartment Available ✤,4800,2,1,,"(37.775048, -122.449638)",0,0,0,1,0,0,0,0,0,0,1,0
✤Newly Remodeled 2/3 Bedroom 1 Bath Apartment Available ✤,4800,3,1,,"(37.775048, -122.449638)",0,0,0,1,0,0,0,0,0,0,1,0
"Find Your Freedom, Without Leaving Home",4740,2,2,1134,"(37.772721, -122.391183)",1,1,0,1,0,0,0,0,0,0,1,0
"Amazing 3 Story, 2 Bedroom, 2.5 Bathroom Loft In The Dogpatch",3995,2,2.5,,"(37.763558, -122.389786)",1,0,0,0,1,0,0,0,0,0,1,0
FABULOUS 2 BEDROOM APT IN USF AREA,3595,2,1,,"(37.7712, -122.4413)",0,0,0,0,1,0,0,0,0,0,0,0
Park and Bay Views | W/D | Fireplace | Private Balcony | Gym!,4608,3,2.5,1737,"(37.709251, -122.423353)",1,1,0,1,0,0,1,0,0,0,1,0
Washington & Leavenworth/Great Location/Pets Ok!Newly Remodeled!Top FL,3895,2,1,,"(37.793769, -122.417262)",1,1,0,0,1,0,0,0,0,0,1,0
Marina/3560 Divisadero&NorthPoint/Incredible ViewsAvailable Now!!,7495,3,3,,"(37.802411, -122.44334)",1,1,0,1,0,0,0,0,0,0,0,0
3 Bedroom with Flex Wall - Views to Twin Peaks! Half Deposit!!!!!,4780,3,2,950,"(37.785159, -122.43546)",1,1,0,0,1,0,0,0,0,0,1,1
Fabulous Flat,3000,2,1,,"(37.723052, -122.458187)",0,0,0,0,0,0,0,0,0,0,1,0
Sunny Top Floor 2br/2ba with Stunning Views! 1 month free rent!,3950,2,2,900,"(37.748367, -122.445043)",1,1,0,0,1,0,0,0,1,0,0,0
$4000 REMOD D/W G/D SS HDWD GRANITE 5 Clos HEART H.V.** OPN SUN 3:30-4,4000,2,1,,"(37.774955, -122.423401)",0,0,0,0,0,0,0,0,0,0,1,0
"Beautiful View, Sunny, Condo w/parking, storage, balcony, washer/dryer",4195,2,2,,"(37.777401, -122.405301)",1,1,0,1,0,0,1,0,0,0,1,0
Comfort & Convenance- Muni/ walk to Bart/ Hwy 280/101,3100,2,1,1050,"(37.734857, -122.439934)",0,0,0,1,0,0,0,0,0,0,1,0
Charming Cow Hollow 2BR,4195,2,1,,"(37.798324, -122.440798)",1,1,0,1,0,0,0,0,0,0,1,0
Gorgeously Remodeled 2BR near Japantown! Open House 10/6 @ 11:30am!,3995,2,1,,"(37.786735, -122.428166)",0,0,0,0,1,0,1,0,0,0,1,0
"*Up to 6 weeks free, Solarium with entertainment area, Pet Spa",6425,2,2,,"(37.787137, -122.396691)",0,0,0,1,0,0,1,0,0,0,0,0
Elegant Flat in Prime Pacific Heights Location GARAGE Parking Availabl,7000,2,2,1820,"(37.794807, -122.438402)",0,0,0,1,0,0,1,0,0,0,1,0
OPEN HOUSE This Saturday Oct 6th @ 11:30am! Amazing 2br in Japantown!,3995,2,1,,"(37.786735, -122.428166)",0,0,0,0,1,0,1,0,0,0,1,0
Updated Top Floor Sutro Heights 2 bed w/ Yard ~ J.Wavro,3495,2,1,,"(37.779111, -122.506165)",1,0,0,0,1,0,1,0,0,0,0,0
TWO BEDROOM LOCATED IN NORTH BEACH!!,3750,2,1,,"(37.800104, -122.40424)",0,0,0,0,0,0,0,0,0,0,1,0
"What Are You Waiting For? Stunning  2Bed/2Bath SF, + Private Balcony",4251,2,2,1667,"(37.710365, -122.390888)",1,1,0,1,0,0,1,0,0,0,1,0
Beautiful 2BR Condo w/ Bay View,6200,2,2,1500,"(37.790878, -122.403093)",1,1,0,1,0,0,0,0,0,0,1,1
Your Apartment Search Stops Here!  Mod 2 Bed with City View Avail Now,4685,2,2,1000,"(37.773089, -122.396768)",1,1,0,1,0,0,1,0,0,0,1,1
"Epic REA: Top Floor 2BR/1BA, Free Pkg, Yard, Divisadero Corridor",3995,2,1,1000,"(37.785105, -122.440994)",0,0,0,0,1,0,1,0,0,0,0,0
Spacious & Bright Furnished 2+ BR Edwardian Gem Atop Russian Hill,4500,2,1,1400,"(37.797334, -122.418672)",0,0,0,1,0,0,0,0,0,1,0,0
EPIC REA/AZARI PM -Spectacular View Penthouse at Blu-3 BR/2.5 BA,10990,3,2.5,2285,"(37.784917, -122.397496)",0,0,0,1,0,0,0,0,0,0,0,0
"Epic REA: Top Floor 2BR/1BA, Free Pkg, Yard, Divisadero Corridor",4195,2,1,1000,"(37.785105, -122.440994)",0,0,0,0,1,0,1,0,0,0,1,0
Stylish 2BR/2BA Modern Corner Condo Unit Built in 2009,4500,2,2,995,"(37.788743, -122.418487)",0,0,0,1,0,0,1,0,0,0,0,0
Luxurious Newly Renovated 4BR/3BA in the Richmond district,6895,4,3,,"(37.7929, -122.4079)",1,0,0,1,0,0,0,0,0,0,0,0
"Beautiful Two Bedroom, Two Bath with Balcony and Great Light",5850,2,2,1097,"(37.758892, -122.391365)",1,1,0,1,0,0,1,0,0,0,1,1
Ground level 2 bed/2 bath with private walk-up - perfect for dog own,4650,2,2,903,"(37.761708, -122.391858)",1,1,0,1,0,0,1,0,0,0,1,1
Luxurious 3x2 in the heart of SoMa!Special Deposit of $500!,5095,3,2,,"(37.7929, -122.4079)",1,1,0,1,0,0,1,0,0,0,0,0
"Now Leasing, Instant Cool Factor",6628,2,2,1075,"(37.787213, -122.391949)",1,1,0,1,0,0,0,1,0,1,1,1
Luxurious Newly Renovated 4BR/3BA in the Richmond district,6895,4,3,,"(37.7929, -122.4079)",1,0,0,1,0,0,0,0,0,0,0,0
Awesome Inner Richmond Brand New Remodeled Apt w/ HW! ~ J.Wavro,3895,2,2,,"(37.784907, -122.462416)",0,0,0,0,1,0,0,0,0,0,0,0
"Prime Location Unit+Newly remodeled+Open House: Sun, Oct 7, 4:30-5:15",4500,2,2,,"(37.787745, -122.435259)",0,0,0,1,0,0,0,0,0,0,1,0
Luxurious 2x1 in the heart of SoMa - Special Deposit $500!,3695,2,1,,"(37.775662, -122.409214)",1,1,0,1,0,0,1,0,0,0,0,0
"Amazing Two Bedroom Townhouse, Two Bath in Avalon Dogpatch",5355,2,2.5,1186,"(37.758417, -122.3913)",1,1,0,1,0,0,1,0,0,0,0,1
"Amazing Three Bedroom Townhouse, 2 1/2 Bath in Avalon Dogpatch",7075,3,2.5,1405,"(37.75862, -122.391236)",1,1,0,1,0,0,1,0,0,0,0,1
"Perfect Location,Luxury Living, Lease Today",1835,3,2,1505,"(36.84287, -119.701046)",1,1,0,1,0,0,0,1,0,0,0,0
Super nice condo tucked away & quiet yet close in the City.  ~ J.Wavro,3595,2,2,,"(37.745, -122.4383)",1,1,0,1,0,0,1,0,0,0,0,0
Remodeled 2 Bedroom Flat - Noe/Mission Border ~ J.Wavro,3995,2,1,,"(37.758365, -122.423489)",0,0,0,0,0,0,0,0,0,0,0,0
Heart of North Beach Deluxe 2 br 2 balconies views skylites fireplace,3850,2,1,,"(37.801571, -122.40777)",1,0,0,0,0,1,0,0,1,0,1,0
Fantastic 2 Bedroom located in the heart of SOMA,3600,2,1,,"(37.777042, -122.410569)",0,0,0,0,0,0,0,0,0,0,0,0
Brand new! Fabulous Finishes! Must See! ~ J.Wavro,6300,2,2,,"(37.781381, -122.456296)",1,1,0,1,0,0,1,0,0,0,0,0
Gorgeous Three Bed Two Bath Eureka Valley Apartment ~ J.Wavro,8000,3,2,,"(37.759223, -122.435957)",0,0,0,1,0,0,0,0,0,0,0,0
"**Open house Sunday 1-3pm**Sunny top floor 3Bed 2Bath, 1500sqft",5500,3,2,1500,"(37.772684, -122.416689)",0,0,0,1,0,0,1,0,0,0,1,0
Bernal Heights Gem | Basking in Natural Light | Parking | ReLISTO,3745,2,1,900,"(37.739002, -122.415899)",1,1,0,0,1,0,1,0,0,0,0,0
Light and Airy | Newly Remodeled Furnished 2 Bed. | Garage Included,4100,2,1,800,"(37.764131, -122.464172)",0,0,0,0,1,0,1,0,0,1,1,0
"3-Bedroom, 3-Bath Apartment for Rent",4200,3,3,1100,"(37.742516, -122.476509)",0,0,0,1,0,0,1,0,0,0,1,0
"Upper Pacific Heights/Lowest rent / Location, Location, Location",4299,2,1.5,1100,"(37.791541, -122.441361)",0,0,0,0,0,0,0,0,0,0,1,0
Huge 2 Bedroom in North Beach!,3750,2,1,,"(37.800104, -122.40424)",0,0,0,0,0,0,0,0,0,0,1,0
Newly Remodeled 2 BR/1 BA in Hayes Valley; W/D In-Unit; Pets Okay;,3895,2,1,,"(37.782523, -122.427491)",1,1,0,1,0,0,0,0,0,0,1,0
"BREATHTAKING, TOP FLOOR RICHMOND 2 BED/2 BATH W/PARKING!!!",3850,2,2,,"(37.77989, -122.492838)",0,0,0,0,1,0,1,0,0,0,0,0
Beautifully Remodeled | 2 Bedroom Flat | Open Concept | ReLISTO,5695,2,1,982,"(37.800415, -122.424359)",1,1,0,0,1,0,0,0,0,0,1,0
Large Upgraded Two bedroom Unit with Parking and Storage!,4250,2,1,,"(37.799879, -122.429308)",0,1,0,0,1,0,1,0,0,1,1,0
Top floor NOPA condo 2bd/1.5ba ~ J.Wavro,4295,2,1.5,,"(37.777669, -122.446846)",0,0,0,0,1,0,1,0,0,0,0,0
$4299.00....Splendid AWESOME  2 BD/ lowest Rent..UPPER Pacific Heights,4299,2,1.5,1100,"(37.791631, -122.441155)",0,0,0,0,0,0,0,0,0,0,1,0
"Private Patios Or Balconies, Walk-In Closets, Smoke-Free Community",4864,2,2,976,"(37.766674, -122.419825)",1,1,0,1,0,0,1,0,0,0,1,0
Clipper & Douglass/Available Now/Pets Ok!$95 Move In Special,4895,2,1,,"(37.748664, -122.438308)",1,1,0,1,0,0,0,0,0,0,1,0
Penthouse living in SOMA,4093,2,1,,"(37.7784, -122.414342)",0,0,0,0,0,1,0,0,0,0,1,0
"Elegant New York style apartment includes 1 pkng, dog friendly!",7500,3,2.5,2500,"(37.789743, -122.42726)",0,1,0,1,0,0,1,0,0,0,1,1
Huge 2 Bed/2.5 Bath Townhouse W/ In-Unit Laundry & Parking!!,3750,2,2.5,,"(37.72495, -122.461211)",0,0,0,1,0,0,1,0,0,0,1,0
Duboce Triangle | 3 BD+1 BA | Furnished | Laundry | Yard | ReLISTO,6395,3,1,1225,"(37.767356, -122.431962)",1,1,0,1,0,0,0,0,0,1,1,0
Duboce Park | 3 BD+1 BA | Furnished | Laundry | Deck+Yard | ReLISTO,6395,3,1,1230,"(37.767528, -122.432299)",1,1,0,1,0,0,0,0,0,1,1,0
Corona Height Charmer| Furnish | 2 BD+1 BA | Laundry+Yard+Pkg |ReLISTO,4500,2,1,1000,"(37.764212, -122.441654)",0,0,0,1,0,0,1,0,0,1,1,0
"NOB HILL LUXURY 2 BEDROOM, ROOF DECK! Elevator! DAWN CUSULOS-BHG",4350,2,1,,"(37.789951, -122.410433)",0,0,0,0,1,0,0,0,0,0,1,0
Presidio Heights Prime | 3 BD+2 BA | Unfurnished | Laundry | ReLISTO,6195,3,2,1987,"(37.787793, -122.454472)",1,1,0,1,0,0,0,0,0,0,1,0
Castro Charmer | Furnished 2 Bedroom | Patio+Yard | ReLISTO,4695,2,1,1200,"(37.75796, -122.439622)",0,0,0,1,0,0,0,0,0,1,0,0
Prime Time Marina | 4 BD+3 BA | Furnished | Deck+Yard+Pkg | ReLISTO,13995,4,3,2800,"(37.805689, -122.435545)",1,1,0,1,0,0,1,0,0,1,1,0
Spacious Beautiful Townhouse Available!,4500,2,2,1400,"(37.719, -122.4096)",1,1,0,1,0,0,1,0,0,0,0,0
Hayes Valley or Bust - the Best Apartment in a Prime Location,4595,2,1,,"(37.77089, -122.42514)",1,1,0,0,1,0,0,0,0,0,1,0
"Stunning 2BR/1Bath Condo, Quiet, sunny, heart of LowHaight/NOPA",4800,2,1,,"(37.771478, -122.438378)",1,1,0,0,1,0,1,0,0,0,1,0
"Upper Pacific Heights/Extraordinary VALUE/SPLENDIDLY LARGE""""",4499,2,1.5,1100,"(37.791631, -122.441155)",0,0,0,0,0,0,0,0,0,0,1,0
Gorgeous 5BR2BA! Great Location! 1 short block from Google Shuttle!,7495,5,2,1800,"(37.742295, -122.423286)",0,0,0,0,1,0,0,0,0,0,1,0
"Prime Location!top floor4BR2BA ! By cable car, Muni, BART station!",7395,4,2,2000,"(37.794354, -122.419753)",0,0,0,1,0,0,0,0,0,0,1,0
"2 bedroom, 1 bath with Bay Bridge and Ferry Building Views!!!",4150,2,1,,"(37.796335, -122.400585)",0,0,0,0,1,0,0,0,0,0,1,0
Spacious 3B/1B flat + extra living area,4500,3,1,,"(37.800243, -122.432894)",0,0,0,0,0,0,0,0,0,0,0,0
"Top-floor, bright and large remodeled apartment, 2-bed 1-ba + sun room",5195,2,1,,"(37.789082, -122.446554)",1,1,0,0,1,0,0,0,0,0,0,0
Completely Remodeled,5100,3,1.5,1200,"(37.756058, -122.417833)",0,0,0,1,0,0,0,0,0,0,0,0
2bd/1ba Furnished Short-Term lease $3000,3000,2,1,,"(37.798762, -122.422337)",0,0,0,0,0,0,0,0,0,1,1,0
"Prime Location!Stunning 4BR2BA home! By cable car, Muni, BART station!",7595,4,2,2000,"(37.794354, -122.419753)",0,0,0,1,0,0,0,0,0,0,1,0
Views That Inspire and Amenities to Get the Job Done!,4895,2,1,,"(37.794458, -122.426045)",1,1,0,1,0,0,0,0,0,0,1,0
Great Location In This 4 Bedroom Apartment. Get It Before Its Gone.,6995,4,1,1600,"(37.7856, -122.4358)",0,0,0,1,0,0,1,0,0,0,1,0
"Russian Hill, 2BR/1BA furnished first floor full flat.",5450,2,1,,"(37.79738, -122.418303)",0,0,0,1,0,0,1,0,0,0,0,0
1 short block away from Google Shuttle line! Spacious 4BR2BA!!!,6795,4,2,1800,"(37.742295, -122.423286)",0,0,0,0,1,0,0,0,0,0,1,0
"Large 2-bed 2-bath apartment with amazing Bay views, pk included",6500,2,2,1615,"(37.794745, -122.431555)",0,0,0,0,1,0,1,0,0,0,0,0
"Sunny, top-floor remodeled 2-bed 1-bath apt, view, parking included",4500,2,1,,"(37.790506, -122.435074)",1,1,0,0,1,0,1,0,0,0,0,0
OPEN SUN 12:35PM-1:15PM Parkside 3BR/2BA garden 1927 18th ave,2995,3,2,,"(37.751929, -122.475242)",0,0,0,0,0,0,0,0,0,0,0,0
Stylish Sunset Living - Views for Days and a Pinterest-Perfect Kitchen,3695,2,1,,"(37.75364, -122.466658)",1,1,0,0,1,0,0,0,0,0,1,0
OPEN SUN 2PM-2:30PM Condo across from Fort Mason 1111 Bay Street #205,4495,2,2,,"(37.804126, -122.425268)",0,0,0,1,0,0,1,0,0,0,0,0
1 Month Free Rent - Updated 4 Bed in Mission w/ In Unit Laundry,7295,4,1,,"(37.768595, -122.417629)",1,1,0,1,0,0,0,0,0,0,1,0
~HRH~ Relaxed living in the heart of the Fillmore Distr,4900,2,1.5,1050,"(37.788643, -122.44337)",0,0,0,0,1,0,0,0,0,0,1,0
~HRH~ Relaxed living in the heart of the Fillmore Distr,4900,2,1.5,1050,"(37.788643, -122.44337)",0,0,0,0,1,0,0,0,0,0,1,0
Fully Remodeled 2 bed on Russian Hill with Parking Included,4295,2,1,,"(37.794593, -122.417929)",0,0,0,0,1,0,0,0,0,0,1,0
Corner 3 Bedroom in SF's Sunniest Neighborhood! AVAILABLE NOW,5980,3,2,1108,"(37.761674, -122.391794)",1,1,0,1,0,0,1,0,0,0,1,1
"New floors & appliances, 2-br + living room",3950,2,1,,"(37.781549, -122.438868)",1,0,0,0,0,0,0,0,0,0,1,0
"A Hop, Skip and a Jump to the Beach! Sunset Stealer is a Must",3995,3,1,,"(37.75364, -122.466658)",1,1,0,1,0,0,0,0,0,0,1,0
Dont Miss This 2x2 at 2000 Post... Views of Pacific Heights! $1k Off!,4434,2,2,925,"(37.78504, -122.435589)",1,1,0,0,1,0,1,0,0,0,1,0
Designer Finishes in the heart of Alamo Square,4398,2,1,,"(37.778213, -122.435052)",1,1,0,0,1,0,0,0,0,0,1,0
"Spread Out, Make Space with High Ceilings and Large Closets",3495,2,1,,"(37.785965, -122.414695)",1,1,0,1,0,0,0,0,0,0,1,0
4 Bedroom With 2 Units Left In This Gorgeous Victorian. Can't Miss.,6800,4,1,1600,"(37.784934, -122.442343)",0,0,0,1,0,0,1,0,0,0,1,0
"Open House: 10/6 @ 3 PM - 2 Bedroom with Yard, Parking & Washer/Dryer",4400,2,1,865,"(37.767055, -122.447637)",0,0,0,0,1,0,1,0,0,0,1,0
3Br 1 Ba 15 min walk FIDI,3695,3,1,,"(37.779174, -122.402021)",0,0,0,0,1,0,0,0,0,0,0,0
"OPEN SUN 3:15PM-3:45PM  Shared Yard, Excl Deck (360 4th #B)",3200,2,1,,"(37.781858, -122.462193)",0,0,0,0,0,0,0,0,0,0,0,0
Luxury Downtown 2Bed/ 2Bath - Infinity Towers #6D -> Amenities ++,6450,2,2,1180,"(37.789369, -122.391858)",0,1,0,1,0,0,1,0,0,0,1,0
"4 Bedroom Flat w/ myriad Restaurants at doorstep, nr Dolo&Duboce pks",6995,4,1.5,1325,"(37.765964, -122.428803)",0,0,0,1,0,0,0,0,0,0,1,0
3 Bedroom Available Now! Do not miss out!,6985,3,2,1313,"(37.772065, -122.404452)",1,1,0,1,0,0,1,0,0,0,1,0
2 bedroom 1 bath garage parking utilities wifi cable,3850,2,1,,"(37.774667, -122.431855)",1,1,0,0,1,0,1,0,0,1,0,0
Don't Miss this Luxury 2 Bedroom,4975,2,2,1042,"(37.772065, -122.404452)",1,1,0,1,0,0,1,0,0,0,1,1
Welcome to your Brand New 2 Bedroom,5440,2,2,1023,"(37.772065, -122.404452)",1,1,0,1,0,0,1,0,0,0,1,1
Charming Apartment Just Half Block From Mission Dolores Park,4795,2,1,,"(37.761188, -122.43003)",1,1,0,0,1,0,0,0,0,0,1,0
"Bernal Heights - 4 BR, 2 BA Apartment - Washer/Dryer",5450,4,2,,"(37.74831, -122.410898)",0,0,0,1,0,0,0,0,0,0,0,0
"2 bedroom 1.5 bath utilities, cable and Wi-Fi included",3750,2,1.5,989,"(37.723457, -122.454116)",0,0,0,0,1,0,0,0,0,1,0,0
A SPECIAL PLACE! Can become whatever your imagination allows!,3795,2,1,,"(37.758794, -122.416371)",1,1,0,0,0,0,0,0,0,0,0,0
Huge 2.5 ba | Water view| W/D | Fireplace| Balcony | Fit Gym | Modern!,4608,3,2.5,1737,"(37.709251, -122.423353)",1,1,0,1,0,0,1,0,0,0,1,0
Top Floor Top Notch Top rated 2 Bedroom!,5075,2,2,1009,"(37.772065, -122.404452)",1,1,0,1,0,0,1,0,0,0,1,0
French Twist! Euro-Charm in the Marina,7495,3,3,,"(37.802411, -122.44334)",1,1,0,1,0,0,0,0,0,0,1,0
3 Bedroom with Amazing Amenities!,6985,3,2,1313,"(37.772065, -122.404452)",1,1,0,1,0,0,1,0,0,0,1,1
Pet-Friendly Waterfront Marina Home - Win!,4795,2,1,,"(37.804917, -122.442132)",1,1,0,1,0,0,0,0,0,0,1,0
Welcome Home to Your New 2 Bedroom!,5005,2,2,1010,"(37.772065, -122.404452)",1,1,0,1,0,0,1,0,0,0,1,1
LARGE Clean New 2 Bedroom Apartment - Laundry On Site Pets Ok,3190,2,1,1200,"(37.743634, -122.483256)",1,1,0,0,0,1,0,0,0,0,1,0
SPACIOUS 2BR + LIVING + YARD + GARAGE APARTMENT FOR RENT - A+ LOCATION,3190,2,1,,"(37.743634, -122.483256)",1,1,0,0,0,1,0,0,0,0,1,0
LARGE Clean New 2 Bedroom Apartment - Laundry On Site Pets Ok,3190,2,1,1200,"(37.743634, -122.483256)",1,1,0,0,0,1,0,0,0,0,1,0
Gaze at the SF City Lights from your very own 2 bedroom oasis!,5325,2,2,1172,"(37.772065, -122.404452)",1,1,0,1,0,0,1,0,0,0,1,0
**OPEN SAT 10/6 - 1:00-1:30PM** Large Two Bedroom on 24th Street,3500,2,1,,"(37.752775, -122.409481)",0,0,0,1,0,0,0,0,0,0,1,0
2 bedroom 1.5 bath townhouse,3800,2,1.5,,"(37.723457, -122.454116)",0,0,0,0,1,0,0,0,0,1,0,0
Perched on a Prestigious Block Near Lafayette Park,4295,2,1,,"(37.792089, -122.423366)",1,1,0,1,0,0,1,0,0,0,1,0
Beautiful Apartment in Victorian Building,5700,3,1,1600,"(37.774311, -122.427177)",1,1,0,0,1,0,0,0,0,0,0,0
"Financial District - 2 BR, 1 BA Apartment 885 Sq. Ft. - In-Unit Washer",4350,2,1,885,"(37.795731, -122.403357)",0,0,0,1,0,0,0,0,0,0,0,0
Beautiful Bay Windows to Gaze at the Painted Ladies,4095,2,1,,"(37.778472, -122.440517)",1,1,0,1,0,0,0,0,0,0,1,0
Elegant Two Bedroom Inner Richmond Flat,3300,2,1,,"(37.783923, -122.484112)",0,0,0,0,0,0,0,0,0,0,1,0
Full Floor Flat In Lone Mountain For Rent,4698,3,1,,"(37.780222, -122.454011)",0,0,0,0,0,1,1,0,0,0,1,0
PENTHOUSE 2BED/1BATH NOE VALLEY APT FOR LEASE OPEN SAT 12-12:30PM,3800,2,1,,"(37.746744, -122.433529)",0,0,0,0,1,0,0,0,0,0,1,0
2 bedroom 1.5 bath townhouse,3800,2,1.5,,"(37.723457, -122.454116)",0,0,0,0,1,0,0,0,0,1,0,0
"Updated 2BR with new kitchen & wood floors, great Castro location!",4195,2,1,,"(37.762016, -122.435119)",0,0,0,0,0,0,0,0,0,0,0,0
OPEN SUN 1:15PM-1:40PM SoMa live/work space located close to Van Ness,3495,2,1,,"(37.7725, -122.4147)",0,0,0,0,0,0,0,0,0,0,0,0
OPEN SUN 2PM-2:20PM 4BR Furnished Flat w/Office  By Golden Gate Park,4995,4,1.5,,"(37.766164, -122.460389)",0,0,0,0,0,0,0,0,0,1,0,0
Newly remodeled Bright Quiet Apt by USF,3600,2,1,,"(37.777532, -122.455773)",0,0,0,0,1,0,0,0,0,0,1,0
"Fully Furnished 2BR, 5min from University of San Francisco (59)",5490,2,1,803,"(37.777507, -122.433085)",1,1,0,1,0,0,0,0,0,1,1,0
"Fabulously Restored 2BR/2BA Flat with 3 Fireplaces, 2 Living Rooms",10000,2,2,,"(37.794547, -122.425341)",0,0,0,0,0,0,1,0,0,0,0,0
"Full Floor Flat, Designer Finishes, W/D In Unit | Elite Leasing",8500,4,2,,"(37.753569, -122.423028)",0,0,0,1,0,0,0,0,0,0,1,0
"2 BR/1 BA with Deck, New Appliances, Charming, &Beautiful Apartment",3500,2,1,900,"(37.749443, -122.438097)",0,0,0,0,0,0,0,0,0,0,1,0
"Updated, top floor 2BR with new kitchen, views, parking & laundry",3795,2,1,,"(37.743099, -122.409158)",0,0,0,0,1,0,1,0,0,0,1,0
"Fabulous, top floor 3BR/2BA w/Deck,Small Pet Consid (23 Scotland)",7495,3,2,,"(37.801216, -122.41236)",0,0,0,1,0,0,1,0,0,0,0,0
OPEN SUN 3:30PM-4PM  unit with Panoramic Views of the Bay Bridge,5495,2,2,,"(37.802747, -122.40506)",0,0,0,0,1,0,1,0,0,0,0,0
"Sunny, top floor 2BR apt with laundry & parking",3250,2,1,,"(37.755434, -122.438864)",0,0,0,0,1,0,1,0,0,0,1,0
"OPEN HOUSE - 2br/1ba Apt. w/ Patio, Across from Lafeyette Park!",3600,2,1,704,"(37.79076, -122.426709)",1,1,0,0,0,1,1,0,0,0,1,1
2BR PRIVATE HIDEAWAY ACROSS FROM SF TENNIS CLUB,3795,2,,,"(37.786439, -122.438024)",0,0,0,0,1,0,0,0,0,0,1,0
3BR RENOVATED VICTORIAN HIDEAWAY - Cozy and Warm,5095,3,,,"(37.786439, -122.438024)",0,0,0,0,1,0,0,0,0,0,1,0
4 BEDROOM HUGE RENOVATED SUNNY VICTORIAN FLAT,6795,4,1.5,,"(37.774216, -122.436417)",0,0,0,1,0,0,0,0,0,0,1,0
Remodeled 2 Level Penthouse 3Br 2Bath w. VIEWS! W PK included,7995,3,2,,"(37.794166, -122.428327)",1,1,0,1,0,0,1,0,0,0,1,0
Pet-Friendly Hayes Valley Classic in the Heart of It All,4595,2,1,,"(37.77089, -122.42514)",1,1,0,0,1,0,0,0,0,0,1,0
Taylor & Jackson St/W&D!/Pets Ok/$95 Move In Special!,5995,2,2,,"(37.795037, -122.413155)",1,1,0,1,0,0,0,0,0,0,1,0
Golden Gate & Broderick/Available Now/Pets Ok/$95 Move In Special,3995,2,1,,"(37.778472, -122.440517)",1,1,0,1,0,0,0,0,0,0,1,0
Divisadero & North Point/ Pets Ok/Top Floor!/ $95 Move In Special!,7495,3,3,1100,"(37.802411, -122.44334)",1,1,0,1,0,0,0,0,0,0,1,0
"Spacious 2BR, 1BA, w/In-Unit Washer/Dryer OPEN HOUSE 10/6+7!",3950,2,1,750,"(37.768898, -122.433545)",0,0,0,1,0,0,0,0,0,0,1,0
Zip Down 101 in a Flash in Lower Pac Heights Dream Home,4195,2,2,,"(37.787254, -122.424075)",1,1,0,0,1,0,0,0,0,0,1,0
